StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1_1,Q2.1_2,Q2.1_3,Q2.3,Q2.4_1,Q2.4_2,Q2.5,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.9_4_TEXT,Q3.10,Q3.11,mTurkCode,crackdown,issue,funding
2018-03-22 15:41:08,2018-03-22 15:43:37,IP Address,158.91.192.65,100,148,True,2018-03-22 15:43:37,R_3F2NluUJKCQYDkm,,,,,40.21809387207,-111.61329650879,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Very favorable,Neither likely nor unlikely,10,90,90$ is still a lot to have.,Once a month,Yes,Some of the time,"Independent, leaning liberal",2 year degree,Once a week,Blue,Male,,"$40,000 – $49,999",25 – 34,3087311,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:41:02,2018-03-22 15:43:40,IP Address,65.175.223.135,100,157,True,2018-03-22 15:43:40,R_22tz0DouwDtypw5,,,,,43.30290222168,-71.045997619629,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Neutral,Somewhat unlikely,0,100,"I need to pay off student debt ",Once every few years,No,Only now and then,"Independent, leaning liberal",4 year degree,Never,Blue,Female,,"$50,000 – $59,999",25 – 34,4768265,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:35:47,2018-03-22 15:43:59,IP Address,199.169.204.179,100,492,True,2018-03-22 15:44:00,R_O3D2v8IP8MYI9GN,,,,,44.984298706055,-93.265403747559,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,I would like to donate to a cause but I also am pretty broke,Once a month,Yes,Some of the time,"Independent, leaning liberal",4 year degree,Never,Blue,Female,,"$30,000 – $39,999",25 – 34,1694098,.,human rights for refugees,government donors
2018-03-22 15:34:31,2018-03-22 15:44:01,IP Address,135.23.170.229,100,569,True,2018-03-22 15:44:01,R_3KVddVS6mMJOsZb,,,,,43.012298583984,-81.230697631836,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,"I don't know how they use the money. Could be liars, or inefficient. Could fund terrorists or homosexual abortionists.",Once every few years,No,Only now and then,Liberal,Graduate or professional degree,Never,Blue,Male,,"$50,000 – $59,999",45 – 54,2619970,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:40:11,2018-03-22 15:44:14,IP Address,173.244.48.143,100,242,True,2018-03-22 15:44:15,R_cZVJyIKEinua1hf,,,,,34.052200317383,-118.24369812012,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,9,91,There are so many good causes. I would donate to other causes too.,Once a year,No,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$20,000 – $29,999",65 – 74,2020360,.,human rights for refugees,government donors
2018-03-22 15:40:27,2018-03-22 15:44:33,IP Address,157.50.105.212,100,246,True,2018-03-22 15:44:33,R_sLRHNRemllEigY9,,,,,13.083297729492,80.283294677734,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Extremely likely,50,50,100,Once every six months,Yes,Some of the time,Very conservative,Graduate or professional degree,Once or twice a month,Blue,Male,,"Less than $10,000",25 – 34,3401347,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:41:50,2018-03-22 15:44:38,IP Address,99.203.29.114,100,167,True,2018-03-22 15:44:38,R_2OTHErT0NNlcYLH,,,,,38.657699584961,-90.247200012207,anonymous,EN,Yes,"Green,Yellow",Neutral,Neutral,Neutral,Neither likely nor unlikely,1,99,I have mistrust in nonprofit organizations and do not believe all donations are spent adequately.,Once a year,No,Some of the time,Strong liberal,Some college,Never,Blue,Female,,"$30,000 – $39,999",25 – 34,9379611,.,human rights for refugees,"individual, private donors"
2018-03-22 15:42:24,2018-03-22 15:44:43,IP Address,173.244.44.22,100,139,True,2018-03-22 15:44:44,R_1110KDfUHGPPk1O,,,,,47.606201171875,-122.33209991455,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"I think it's important to give to charity, especially non profits. Money is tight for me and my family though, so I could put that $90 I'd keep for myself to use with household expenses or things my kids need. ",Once every three months,No,Most of the time,Strong liberal,Some college,Never,Blue,Female,,"$10,000 – $19,999",25 – 34,8508632,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:43:55,2018-03-22 15:45:32,IP Address,192.136.173.186,100,96,True,2018-03-22 15:45:33,R_3k1cu6RXxTO91z5,,,,,44.694900512695,-69.133102416992,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Favorable,Somewhat unlikely,0,100,I have other charities to support,Once a year,Yes,Only now and then,"Independent, leaning conservative",2 year degree,Seldom,Blue,Female,,"$60,000 – $69,999",45 – 54,713347,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:43:36,2018-03-22 15:45:36,IP Address,184.164.147.9,100,120,True,2018-03-22 15:45:37,R_1mOXFTaPl3ddvBq,,,,,43.159606933594,-89.285202026367,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,20,80,Because I'm always short on money.,Never,No,Some of the time,Strong liberal,4 year degree,Seldom,Blue,Female,,"$30,000 – $39,999",18 – 24,4179527,.,human rights for refugees,government donors
2018-03-22 15:42:10,2018-03-22 15:45:36,IP Address,174.96.226.62,100,206,True,2018-03-22 15:45:37,R_2gXiFXk8ZeR6tX3,,,,,41.398895263672,-83.653900146484,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,15,85,"I would want to give them something, I think that amount feels about right.",Once every six months,No,Some of the time,"Independent, leaning conservative",2 year degree,A few times a year,Blue,Male,,"$20,000 – $29,999",25 – 34,405560,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:44:24,2018-03-22 15:45:57,IP Address,80.71.142.76,100,93,True,2018-03-22 15:45:57,R_2z7qWG6C4LY7e8g,,,,,55.666702270508,12.583297729492,anonymous,EN,Yes,"Green,Yellow",Neutral,Neutral,Favorable,Somewhat likely,50,50,I would keep some for myself for food and donate the rest because I am a giving person.,Once a year,Yes,Only now and then,"Independent, leaning conservative",Some college,Seldom,Blue,Male,,"$50,000 – $59,999",18 – 24,6123908,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:42:30,2018-03-22 15:46:02,IP Address,75.173.74.14,100,212,True,2018-03-22 15:46:03,R_3JFd0eh3tDK8TLq,,,,,35.144500732422,-106.64469909668,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,0,100,"I really need the hundred dollars right now.  Plus, the refugee issue is very important, but I tend to donate to causes that are closer to my community or that matter the most to me.",Once every six months,Yes,Some of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$30,000 – $39,999",25 – 34,4656390,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:42:45,2018-03-22 15:46:23,IP Address,206.213.157.174,100,218,True,2018-03-22 15:46:24,R_2QM2PsgZ7tdEfBQ,,,,,37.255493164062,-121.92449951172,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,50,50,"I want to give, but am also on a somewhat strict budget. $50 is the highest I can go to stay within my means.",Once every three months,Yes,Some of the time,Strong liberal,Graduate or professional degree,Seldom,Blue,Female,,"$40,000 – $49,999",25 – 34,6814574,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 15:44:31,2018-03-22 15:46:52,IP Address,71.34.159.78,100,140,True,2018-03-22 15:46:52,R_3n6FtL8EdtH1PKQ,,,,,38.886001586914,-104.68199920654,anonymous,EN,Yes,"Green,Yellow",Favorable,Unfavorable,Favorable,Somewhat unlikely,3,97,I dont know there specifics.,Once a year,Yes,Some of the time,Independent,Some college,A few times a year,Blue,Male,,"$10,000 – $19,999",25 – 34,4837551,.,human rights for refugees,"individual, private donors"
2018-03-22 15:41:44,2018-03-22 15:47:19,IP Address,68.32.232.238,100,335,True,2018-03-22 15:47:19,R_V1HgVDU694ZCV4B,,,,,36.761993408203,-82.038803100586,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,25,75,Because I like the mission of the organization but I want more detail about its specific activities in order to determine how effective it is.  Also I want to know about their government ties so that I can determine if the organization's actions are truly altruistic or if they have underlying political motivations.,Once a month,Yes,Most of the time,"Independent, leaning conservative",Graduate or professional degree,Once or twice a month,Blue,Male,,"$70,000 – $79,999",25 – 34,373076,.,humanitarian assistance for refugees,government donors
2018-03-22 15:45:27,2018-03-22 15:47:19,IP Address,80.120.117.238,100,112,True,2018-03-22 15:47:20,R_2EG1KlUtVpWcSkD,,,,,48.199996948242,16.36669921875,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,19,81,Because I'm not sure what it is that they do from that description.,Once every six months,No,Some of the time,"Independent, leaning conservative",4 year degree,Never,Blue,Female,,"$10,000 – $19,999",25 – 34,7216329,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:41:59,2018-03-22 15:47:24,IP Address,66.66.25.64,100,325,True,2018-03-22 15:47:25,R_1PbCRQTqwSnhyjP,,,,,43.224594116211,-77.592002868652,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,20,80,"Because international non-profit organizations are sometimes corrupt, and I would need to know and to verify more information about the organization in question before I might donate additional funds.",Once every six months,No,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$40,000 – $49,999",35 – 44,4540918,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:44:44,2018-03-22 15:47:52,IP Address,97.66.215.85,100,188,True,2018-03-22 15:47:53,R_1f1N7yYiLyAchdm,,,,,33.930892944336,-86.777297973633,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,25,75,"Mostly because I do not know very much about the organization.  Usually, I will donate a small amount until I get to the know the organization better and how their funds are used.",Once a month,No,Most of the time,Very conservative,High school graduate,Once a week,Blue,Male,,"$20,000 – $29,999",45 – 54,4702268,.,humanitarian assistance for refugees,government donors
2018-03-22 15:44:38,2018-03-22 15:48:52,IP Address,104.172.209.177,100,254,True,2018-03-22 15:48:52,R_3KvXZw1TovfpXlL,,,,,33.791900634766,-118.31840515137,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Neutral,Somewhat unlikely,40,60,"I don't have any background knowledge on IRC, so I don't know what they do nor where my donation will go. Because it's extra money that I have on hand, I would like to donate a little less than half and keep the rest to myself. ",Once every three months,Yes,Only now and then,Strong liberal,High school graduate,Never,Blue,Female,,"$20,000 – $29,999",25 – 34,7193354,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:44:30,2018-03-22 15:48:52,IP Address,108.73.100.50,100,261,True,2018-03-22 15:48:53,R_Q4ySHYL9r4GtqXT,,,,,34.080307006836,-118.20809936523,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,10,90,This is not something I want donate. I want to keep money for another organization which I want to donate.,Once every six months,No,Only now and then,"Independent, leaning conservative",Some college,Never,Blue,Female,,"$60,000 – $69,999",45 – 54,3871589,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:45:03,2018-03-22 15:49:16,IP Address,73.223.85.81,100,252,True,2018-03-22 15:49:16,R_2uVVXFLwAOiEcvP,,,,,37.301300048828,-121.8078994751,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,50,50,"Because I am asked about it. Otherwise, I do not think I would do it.",Once every few years,Yes,Most of the time,Liberal,Graduate or professional degree,Never,Blue,Female,,"$90,000 – $99,999",45 – 54,3018380,.,human rights for refugees,government donors
2018-03-22 15:47:15,2018-03-22 15:50:00,IP Address,50.25.74.231,100,165,True,2018-03-22 15:50:01,R_242XSVphBIy8zNJ,,,,,37.873992919922,-82.439300537109,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,0,100,Because of the restriction laws.,Once every three months,No,Some of the time,Conservative,4 year degree,A few times a year,Blue,Female,,"$50,000 – $59,999",35 – 44,381856,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:48:47,2018-03-22 15:50:06,IP Address,67.255.112.159,100,78,True,2018-03-22 15:50:06,R_2VJhNjN11tNeYmT,,,,,42.362899780273,-77.353897094727,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat likely,20,80,"I would donate a small amount, with the hope that this would do some good.",Once every six months,Yes,Most of the time,Strong liberal,Graduate or professional degree,Seldom,Blue,Male,,"$100,000 – $149,999",25 – 34,597892,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:48:26,2018-03-22 15:50:18,IP Address,99.125.129.15,100,112,True,2018-03-22 15:50:20,R_2UbUlaKLi7fip4l,,,,,38.856094360352,-94.667900085449,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,26,74,I would need more information about this before I donate,Never,Yes,Only now and then,Liberal,4 year degree,Once a week,Blue,Female,,"$70,000 – $79,999",25 – 34,8962043,.,human rights for refugees,government donors
2018-03-22 15:48:22,2018-03-22 15:50:38,IP Address,68.228.160.155,100,136,True,2018-03-22 15:50:39,R_1pLhR68yzcOqlVl,,,,,35.518493652344,-97.642799377441,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,100,0,It sounds like a worthy organization to donate to,Once a year,Yes,Some of the time,Independent,4 year degree,Once or twice a month,Blue,Female,,"$70,000 – $79,999",65 – 74,5891377,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:48:22,2018-03-22 15:50:42,IP Address,18.101.24.230,100,139,True,2018-03-22 15:50:43,R_2X1Fwf5LcEpSDI2,,,,,42.364593505859,-71.102798461914,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,5,95,"I don't feel organization that already have governmental backings require my help, esp. on such big issues such as refugees",Once every few years,Yes,Some of the time,Liberal,4 year degree,Never,Blue,Female,,"$30,000 – $39,999",25 – 34,391072,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:48:30,2018-03-22 15:50:45,IP Address,12.86.94.190,100,135,True,2018-03-22 15:50:46,R_3n8y3XOkAgEP6DI,,,,,43.020797729492,-89.360000610352,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,25,75,I would donate a small amount first until I could learn more about the agency and how the money is used.,Once a month,No,Some of the time,Conservative,4 year degree,Once a week,Blue,Female,,"$30,000 – $39,999",45 – 54,9570734,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:48:42,2018-03-22 15:50:55,IP Address,162.198.166.54,100,132,True,2018-03-22 15:50:55,R_2Vr6uzLi99Ic8qK,,,,,37.968505859375,-84.146003723145,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Neither likely nor unlikely,10,90,I have rent to pay,Once a year,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$10,000 – $19,999",65 – 74,8379981,.,human rights for refugees,government donors
2018-03-22 15:47:02,2018-03-22 15:50:58,IP Address,24.162.155.229,100,235,True,2018-03-22 15:50:58,R_2Sk75FKQiVBcEv3,,,,,31.004302978516,-97.754302978516,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,100,0,I believe refugees need all the help they can get.,Once every three months,Yes,Some of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$60,000 – $69,999",25 – 34,2641421,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:49:22,2018-03-22 15:51:26,IP Address,70.162.35.124,100,124,True,2018-03-22 15:51:27,R_1Pc3bYaz1NddPDe,,,,,32.24479675293,-110.92320251465,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,50,50,"I feel that they deserve that money, but I would need to have money myself for personal reasons in my life.",Once every few years,Yes,Only now and then,"Independent, leaning liberal",4 year degree,A few times a year,Blue,Male,,"$50,000 – $59,999",18 – 24,8441449,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 15:46:36,2018-03-22 15:51:30,IP Address,68.62.33.150,100,293,True,2018-03-22 15:51:30,R_3gME0M0LNL0sReZ,,,,,42.927505493164,-83.629898071289,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,50,50,"I would keep half for myself and donate the rest.  I would keep that much for myself to put in the bank in case it is needed for bills or emergency expenses and I would give the rest to charity because whenever you something to give, every little bit will help.",Once every three months,No,Some of the time,Liberal,High school graduate,Never,Blue,Male,,"$60,000 – $69,999",35 – 44,2391903,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 15:47:38,2018-03-22 15:51:40,IP Address,199.87.143.248,100,242,True,2018-03-22 15:51:41,R_3etbirfZEMG5qek,,,,,39.746200561523,-104.46040344238,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,5,95,Refugee rights are not something I lean towards so 5 is actually on the high end for me.,Once every few years,No,Most of the time,Conservative,Some college,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,9397745,.,human rights for refugees,"individual, private donors"
2018-03-22 15:49:48,2018-03-22 15:51:44,IP Address,192.180.123.91,100,116,True,2018-03-22 15:51:46,R_2aJPyPNc0xUJRXR,,,,,38.085800170898,-85.849502563477,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,10,90,I am for any charity that helps people. All people deserve some help.,Once a year,Yes,Some of the time,Liberal,2 year degree,Never,Blue,Male,,"$20,000 – $29,999",25 – 34,1669274,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 15:48:47,2018-03-22 15:51:46,IP Address,173.21.100.103,100,179,True,2018-03-22 15:51:47,R_1dpfPT3rMrOKJZP,,,,,30.503494262695,-88.143203735352,anonymous,EN,Yes,"Pink,Green",Favorable,Neutral,Favorable,Somewhat likely,20,80,need the money,Once every few years,No,Only now and then,Liberal,Less than high school,A few times a year,Blue,Female,,"$10,000 – $19,999",45 – 54,7505316,.,human rights for refugees,"individual, private donors"
2018-03-22 15:48:32,2018-03-22 15:51:52,IP Address,71.181.113.131,100,200,True,2018-03-22 15:51:53,R_1j8rJJgCUVn5CwK,,,,,43.037292480469,-72.152900695801,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely unlikely,0,100,"This charity has to do with Mitt Romney and I will not donate to that capitalist. ",Once a year,No,Most of the time,Strong liberal,Some college,Never,Blue,Male,,"$20,000 – $29,999",25 – 34,8432898,.,human rights for refugees,government donors
2018-03-22 15:47:35,2018-03-22 15:51:54,IP Address,75.39.107.68,100,258,True,2018-03-22 15:51:55,R_3nNtqs3HDZ0HAiU,,,,,42.421493530273,-82.898696899414,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,10,90,I would donate $10 because it seems like a good enough amount to donate.,Once every few years,No,Some of the time,Independent,High school graduate,Never,Blue,Female,,"$20,000 – $29,999",35 – 44,5432717,.,humanitarian assistance for refugees,government donors
2018-03-22 15:48:51,2018-03-22 15:51:57,IP Address,107.216.157.111,100,185,True,2018-03-22 15:51:57,R_2zeAq2Mda4xu6z1,,,,,36.264297485352,-95.827697753906,anonymous,EN,Yes,"Green,Yellow",Neutral,Favorable,Neutral,Somewhat unlikely,0,100,If the non-profit works in countries where non-profit activities are heavily restricted there's a good amount of waste and shortfalls in their activities and ability to assist others.,Never,No,Hardly at all,"Independent, leaning conservative",Some college,Seldom,Blue,Male,,"$60,000 – $69,999",25 – 34,3154467,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:50:35,2018-03-22 15:52:21,IP Address,74.75.245.119,100,106,True,2018-03-22 15:52:22,R_1IbGbXSOpzxGxPE,,,,,43.397201538086,-70.572196960449,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,0,100,I can really use the money myself. there are some very rich people out there that could help out way more than me.,Never,No,Some of the time,Independent,Some college,Never,Blue,Male,,"$90,000 – $99,999",18 – 24,9018583,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:49:11,2018-03-22 15:52:22,IP Address,47.35.125.92,100,190,True,2018-03-22 15:52:23,R_3Mc9tGJpki1En20,,,,,44.906204223633,-85.029296875,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Neutral,Somewhat likely,50,50,half for them half for me,Once a year,No,Some of the time,Strong liberal,Some college,Never,Blue,Female,,"$50,000 – $59,999",45 – 54,3248078,.,humanitarian assistance for refugees,government donors
2018-03-22 15:41:19,2018-03-22 15:52:47,IP Address,98.189.234.174,100,687,True,2018-03-22 15:52:47,R_1LwzLhSax3KkEJG,,,,,33.689697265625,-117.85020446777,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,35,65,I would donate 35% of my extra money because I feel that is a fair donation.,Once every few years,No,Most of the time,Liberal,Some college,Seldom,Blue,Male,,"$50,000 – $59,999",25 – 34,4774200,.,human rights for refugees,"individual, private donors"
2018-03-22 15:50:45,2018-03-22 15:53:19,IP Address,68.107.71.195,100,154,True,2018-03-22 15:53:20,R_2Pjl0gMqGz5zlJk,,,,,32.736801147461,-117.24020385742,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,5,95,"I could use the extra money to pay off debt, but, since I wasn't counting on it, I would be willing to share a portion of it with charity.",Once every three months,No,Most of the time,Strong liberal,Some college,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,6263499,.,human rights for refugees,"individual, private donors"
2018-03-22 15:48:53,2018-03-22 15:53:29,IP Address,204.62.111.60,100,275,True,2018-03-22 15:53:29,R_cLVMhIbIqBN7phD,,,,,36.144302368164,-115.18299865723,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,0,100,It's impossible for me to thoroughly evaluate this organization based on the limited information presented in this survey.,Once a year,No,Most of the time,Strong liberal,Less than high school,Once a week,Blue,Female,,"$20,000 – $29,999",25 – 34,2786123,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 15:51:34,2018-03-22 15:53:36,IP Address,198.213.89.219,100,121,True,2018-03-22 15:53:38,R_27DtZ4BO3m17JhS,,,,,30.267196655273,-97.743103027344,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,20,80,I would donate the 20 percent as I feel it is an adequate donation to a charity that does good work. I might need to donate other amounts from my 100 to another cause(s),Once every six months,Yes,Some of the time,Liberal,4 year degree,Once or twice a month,Blue,Male,,"$50,000 – $59,999",25 – 34,1713249,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:50:02,2018-03-22 15:53:57,IP Address,67.187.101.253,100,234,True,2018-03-22 15:53:58,R_cUQQAsiAwOZJVuh,,,,,36.107803344727,-86.768997192383,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,0,100,Right now? Because taxes are coming do and I need all the money I can get.,Once a year,No,Some of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$10,000 – $19,999",Under 18,8801591,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:49:36,2018-03-22 15:54:27,IP Address,68.32.145.79,100,291,True,2018-03-22 15:54:28,R_3fISa18KFWnHZXv,,,,,42.931396484375,-85.649696350098,anonymous,EN,Yes,"Green,Yellow",Neutral,Very favorable,Favorable,Neither likely nor unlikely,4,96,Because it's a good start,Never,No,Only now and then,Independent,High school graduate,A few times a year,Blue,Female,,"Less than $10,000",18 – 24,2177082,.,humanitarian assistance for refugees,government donors
2018-03-22 15:50:40,2018-03-22 15:54:47,IP Address,174.107.70.130,100,247,True,2018-03-22 15:54:48,R_1rGsNQw4bRUADXD,,,,,33.985992431641,-80.997200012207,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Favorable,Neither likely nor unlikely,15,85,"If it were $100 of my own money, I would keep it for savings, and realize that I can't always donate as much as I would like or want to, and that there are limits. I have to be sustainable myself, first and foremost. This organization itself seems fine, and I would donate to it just as much as I would to anything, as long as I were able to.",Once a year,Yes,Only now and then,Liberal,Some college,Never,Blue,Male,,"Less than $10,000",25 – 34,4932628,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 15:53:13,2018-03-22 15:55:09,IP Address,69.85.104.227,100,116,True,2018-03-22 15:55:10,R_3dYQoAtxPHbJCFO,,,,,34.788299560547,-84.282699584961,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,0,100,I've never heard of this non-profit before.,Never,No,Only now and then,Independent,High school graduate,Never,Blue,Male,,"$10,000 – $19,999",25 – 34,5202208,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 15:46:06,2018-03-22 15:55:35,IP Address,24.250.159.62,100,568,True,2018-03-22 15:55:35,R_2ZHo1fcFDRYKcJ3,,,,,29.676605224609,-82.385498046875,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Favorable,Neither likely nor unlikely,1,99,I wouldnt want to put too much a percentage towards donating due to personal goals,Once a year,No,Some of the time,"Independent, leaning conservative",4 year degree,Seldom,Blue,Male,,"$100,000 – $149,999",25 – 34,1129427,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 15:46:08,2018-03-22 15:55:58,IP Address,24.205.147.4,100,589,True,2018-03-22 15:55:58,R_1K1reMEtxaFAU67,,,,,34.09049987793,-118.13439941406,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,21,79,I don't know how well the organization uses its funds so I'm hesitant to give a large portion,Once every six months,Yes,Some of the time,Independent,Doctorate,Never,Blue,Male,,"$50,000 – $59,999",25 – 34,9504192,.,human rights for refugees,"individual, private donors"
